	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
29																					291	-0.22931227585395172	0.011062655151128992	122	1.349643928437737											255	-0.25334255335702066	0.03711262878505036	68.0	2.5236587573834246	93	-0.23503469241816202	0.04849348181410418	71.0	3.4430372088013965																					71	-0.34732027163475765	0.04765750081364852	33.0	1.5726975268504013															
30																					294	-0.22921381322976478	0.011098169753253995	122	1.3539767098969875											161	0.2476137899496913	0.04176622246701546	68.0	2.840103127757051	289	0.2340879712988226	0.04943253281607479	71.0	3.5097098299413103																					262	0.3462458071096242	0.04839619026091346	33.0	1.5970742786101444															
31																					258	0.2291661565194111	0.011115394996130776	122	1.3560781895279546											102	0.24653628576506006	0.042693281452839536	68.0	2.9031431387930886																										95	-0.34573081610287604	0.04875346950518441	33.0	1.6088644936710854															
32																					256	0.2289874859949177	0.011180183358881707	122	1.3639823697835682											41	-0.2445386984909099	0.04445692336380205	68.0	3.0230707887385395																																													
33																					25	0.22883447213399702	0.011235931277128307	122	1.3707836158096536											235	-0.24369149240381005	0.04522283402682107	68.0	3.0751527138238326																																													
34																					29	0.22880949088319377	0.011245055865930602	122	1.3718968156435334											143	-0.2434286414898155	0.045462659693094716	68.0	3.0914608591304407																																													
35																					66	0.22816369447762813	0.011483203694133054	122	1.4009508506842325											170	0.24284035795385786	0.04600320672299875	68.0	3.128218057163915																																													
36																					170	-0.22733012447347337	0.011797123075111679	122	1.4392490151636248											118	0.2415549506802287	0.04720272373945292	68.0	3.2097852142827983																																													
37																					58	-0.2265167723060931	0.01211064686906192	122	1.4774989180255542											276	0.24002178998349483	0.048666925664902404	68.0	3.3093509452133634																																													
38																					202	0.22648206819412137	0.012124184987910874	122	1.4791505685251267																																																												
39																					8	-0.22628728340808724	0.012200416821071388	122	1.4884508521707094																																																												
40																					72	0.2262376207250536	0.012219919991458016	122	1.4908302389578778																																																												
41																					4	0.22615870292927132	0.01225096813128602	122	1.4946181120168944																																																												
42																					59	-0.2259656595916754	0.012327207018011887	122	1.5039192561974501																																																												
43																					181	0.22425248074139914	0.013022179358419999	122	1.58870588172724																																																												
44																					97	0.22407725822507835	0.013095153335531542	122	1.5976087069348481																																																												
