	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
19											135	0.2812508121018008	0.034061786647680094	57.0	1.9415218389177653											77	-0.18016899120482888	0.013606778167002297	187	2.5444675172294295																					13	0.33873446953653086	0.037498812719130206	38.0	1.4249548833269479																										26	0.2926485554177464	0.02209502192056431	61.0	1.347796337154423						292	-0.4017070698693788	0.02509087511973083	31.0	0.7778171287116558
20											250	0.28033238915040387	0.034675581870556596	57.0	1.976508166621726											238	0.17973863531202633	0.013836194285877939	187	2.5873683314591744																					186	-0.3365585547210955	0.03882028518547081	38.0	1.4751708370478906																										297	0.29261830706320197	0.02210941471900044	61.0	1.348674297859027						67	0.40112513127879407	0.02532214421299868	31.0	0.784986470602959
21											80	-0.2796841572824849	0.03511431131352473	57.0	2.0015157448709098											101	-0.17958134971733675	0.013920882196643973	187	2.6032049707724227																					98	0.3360483055482707	0.03913558795715258	38.0	1.487152342371798																										47	0.2921023896305223	0.0223561249929896	61.0	1.3637236245723654						44	0.3958260760872207	0.02750947702374031	31.0	0.8527937877359496
22											200	0.27692816549918875	0.03703134654483465	57.0	2.110786753055575											244	0.1775814050392131	0.015037955891803125	187	2.812097751767184																					175	0.3337541673424658	0.040579052524231676	38.0	1.5420039959208036																										192	0.2910617350934078	0.022860863940978794	61.0	1.3945127003997064						265	-0.39537108685383626	0.027704263303311282	31.0	0.8588321624026497
23											237	-0.27658353224344023	0.03727705147229952	57.0	2.1247919339210726											157	-0.17679828621123814	0.015496255658209376	187	2.8977998080851535																					249	0.33095510336190825	0.0423984231763135	38.0	1.6111400806999132																										178	0.28991573827550754	0.023427821387675688	61.0	1.429097104648217						219	-0.394790108621346	0.0279546224308162	31.0	0.8665932953553022
24											169	-0.2761475030328872	0.037589848811579195	57.0	2.142621382260014											222	0.17635346125211557	0.01576196946251936	187	2.9474882894911203																					278	-0.3298399548395663	0.04314141682252992	38.0	1.639373839256137																										133	-0.2897699776979593	0.02350077840638174	61.0	1.4335474827892862						238	0.39390216328532984	0.028340827055844255	31.0	0.8785656387311719
25											49	0.2750268661263083	0.03840374261273292	57.0	2.1890133289257765											283	-0.1762852753744763	0.015803049314222217	187	2.9551702217595546																					165	-0.32817918347560815	0.04426743782327777	38.0	1.6821626372845553																										113	-0.28949080092192514	0.023641050118508464	61.0	1.4421040572290162						191	0.393175672061706	0.028660035865189976	31.0	0.8884611118208893
26											70	0.2746086278120154	0.038711208148756705	57.0	2.2065388644791324											68	0.1761636115912272	0.015876579963054062	187	2.9689204530911097																					255	0.3209728295044428	0.049431571302466205	38.0	1.8783997094937157																										160	0.2886758470004103	0.024054576478620734	61.0	1.4673291651958649						187	0.3906121660422786	0.02980990302223545	31.0	0.9241069936892989
27											196	0.2706883770599638	0.04169322435977816	57.0	2.376513788507355											204	0.17571210262777395	0.016152076039812373	187	3.0204382194449138																																																			11	-0.28752312758537474	0.024649914748734743	61.0	1.5036447996728193						101	-0.3901668784977832	0.03001341365499501	31.0	0.9304158233048453
28											204	0.27062002638589466	0.04174684760769005	57.0	2.379570313638333											148	-0.17563295281044303	0.01620079760383095	187	3.0295491519163877																																																			85	0.2869569909908121	0.0249468277543069	61.0	1.5217564930127208						152	0.3896069886219324	0.030270904268972842	31.0	0.9383980323381581
