	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
23																										267	0.3259520004757692	0.001941192287191227	88	0.17082492127282797											151	0.252987752216476	0.037387737803585244	68.0	2.5423661706437968																					88	0.2497581002221625	0.030694314954993182	75.0	2.302073621624489																														
24																										184	-0.32515827864310365	0.0019941663024455308	88	0.1754866346152067											197	-0.25294024867192644	0.03742469993742539	68.0	2.5448795957449266																					105	0.24475149638014443	0.03431833101322112	75.0	2.573874825991584																														
25																										13	-0.32463542269713336	0.0020297708430373623	88	0.17861983418728788											276	0.24370614036754348	0.04520949990775425	68.0	3.074245993727289																					255	-0.24460393833445454	0.0344303506701051	75.0	2.582276300257883																														
26																										70	-0.3235801386406849	0.0021033823100241335	88	0.18509764328212375											139	-0.24040989564871287	0.04829279973915853	68.0	3.28391038226278																					201	0.24006362149573696	0.038029659800421924	75.0	2.8522244850316443																														
27																										155	0.32311493552450254	0.002136589717552175	88	0.18801989514459141											94	-0.23971979756472897	0.04895968218493124	68.0	3.329258388575324																					99	-0.23922278514245188	0.03872947057229486	75.0	2.9047102929221142																														
28																										118	0.32263378232891043	0.002171431760904017	88	0.1910859949595535											67	-0.2392588479002941	0.049409317742498265	68.0	3.359833606489882																					25	-0.23871561201404612	0.03915673722257263	75.0	2.9367552916929474																														
29																										63	0.32079718655078665	0.0023091792922546256	88	0.20320777771840706											16	-0.23920375590859896	0.049463283197225434	68.0	3.3635032574113297																					283	0.2372304460514727	0.04043051253335832	75.0	3.032288440001874																														
30																										105	0.31742844281209476	0.00258242436164344	88	0.2272533438246227																																				232	0.2359665746766824	0.041541412516025375	75.0	3.1156059387019033																														
31																										187	0.3151263837672557	0.0027855032931310723	88	0.24512428979553436																																				48	-0.23498045020866587	0.04242565651921817	75.0	3.1819242389413627																														
32																										150	-0.31455402509183267	0.002838168413605789	88	0.2497588203973094																																				61	-0.234851965836803	0.0425420061692722	75.0	3.190650462695415																														
33																										203	0.3137517146586857	0.0029134958002793405	88	0.25638763042458196																																				12	0.23258992229196015	0.04463406629635915	75.0	3.3475549722269364																														
34																										175	0.31341464707387157	0.002945673585841464	88	0.25921927555404883																																				254	-0.23245951975195336	0.04475721548637203	75.0	3.356791161477902																														
35																										103	-0.31289238022474053	0.002996160698109782	88	0.26366214143366085																																				217	-0.23063475268751718	0.04651012085169196	75.0	3.4882590638768973																														
36																										247	-0.31260076218613153	0.003024687315547382	88	0.2661724837681696																																																																						
37																										173	0.31158254615924547	0.00312620928329554	88	0.2751064169300075																																																																						
