	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
21	191	0.5756044539874055	2.2796694680977545e-06	58	0.00013222082914966977	248	0.3375590482805571	0.041030094515193315	37.0	1.5181134970621526	272	-0.44176840008299584	0.018593454166905336	28.0	0.5206167166733494	70	-0.9740116330179144	0.005009588815591291	5.0	0.025047944077956456											95	0.5460949992536271	0.03520070320436699	15.0	0.5280105480655048	8	0.9888280086107193	0.011171991389280711	4.0	0.044687965557122844											35	-0.9800909835773508	0.019909016422649195	4.0	0.07963606569059678																				
22	164	0.571994519224835	2.725603990246033e-06	58	0.00015808503143426993	215	-0.337466869339507	0.041088822892685915	37.0	1.5202864470293789	48	-0.4404190407219906	0.018998737081293408	28.0	0.5319646382762154	146	-0.973659173702412	0.005111572514216341	5.0	0.025557862571081707											195	-0.5448992620166662	0.03568435362712512	15.0	0.5352653044068768	297	-0.9878864761647215	0.012113523835278528	4.0	0.04845409534111411											298	-0.9796872769121413	0.020312723087858697	4.0	0.08125089235143479																				
23	93	0.5508381935666463	7.451239100144908e-06	58	0.00043217186780840464	249	-0.3348564551733143	0.04278042183347198	37.0	1.5828756078384632	199	-0.4384871258070914	0.01959161081136203	28.0	0.5485651027181369	13	0.9733780373166058	0.00519340348256016	5.0	0.025967017412800802											162	0.5446198696965221	0.035798075000839556	15.0	0.5369711250125934	140	-0.9873072061290273	0.012692793870972663	4.0	0.05077117548389065											297	0.9794258289346534	0.020574171065346647	4.0	0.08229668426138659																				
24	61	-0.5379189091115592	1.3323778522538075e-05	58	0.0007727791543072083	159	0.33480854395149073	0.042811987375420704	37.0	1.584043532890566	194	0.43796995935229466	0.019752873422282484	28.0	0.5530804558239095	167	-0.9729585027955567	0.005316312312177044	5.0	0.02658156156088522											213	-0.544563875720058	0.03582089887082169	15.0	0.5373134830623253	298	0.9872109021158996	0.012789097884100431	4.0	0.051156391536401724											29	0.9791970244965741	0.020802975503425913	4.0	0.08321190201370365																				
25	246	0.5302912766302438	1.857085943210676e-05	58	0.001077109847062192	33	0.3345364642685519	0.04299159994196167	37.0	1.5906891978525817	186	-0.4352786268440562	0.020609775764613904	28.0	0.5770737214091893	140	0.9716835123918043	0.005695602058162384	5.0	0.02847801029081192											89	-0.542209078700764	0.036790638058837755	15.0	0.5518595708825663	279	0.9865315583443441	0.01346844165565586	4.0	0.05387376662262344											77	0.9784118681204819	0.021588131879518135	4.0	0.08635252751807254																				
26	284	0.5257344384228225	2.2559638273600475e-05	58	0.0013084590198688276	244	0.33392789833112757	0.0433955477293535	37.0	1.6056352659860795	176	0.4337402908294382	0.021113106460556388	28.0	0.5911669808955788	81	-0.9715373715938461	0.005739624217357622	5.0	0.02869812108678811											270	-0.5409882490635248	0.037301047750692866	15.0	0.559515716260393	190	-0.9865203733803672	0.013479626619632756	4.0	0.053918506478531025											52	-0.9775130391219901	0.022486960878009943	4.0	0.08994784351203977																				
27	53	0.5225016357384795	2.585512527640478e-05	58	0.0014995972660314773	224	-0.33062659260271043	0.045640602598174915	37.0	1.6887022961324718	250	-0.43214276339780744	0.021646418626846926	28.0	0.6060997215517139	107	0.9711456720082792	0.0058581655644123366	5.0	0.02929082782206168											116	0.5371889240379073	0.038923348513905255	15.0	0.5838502277085789	110	0.9863769189334813	0.01362308106651866	4.0	0.05449232426607464											282	-0.9747010380144505	0.025298961985549484	4.0	0.10119584794219794																				
28	81	0.5200334615239389	2.8664956391796012e-05	58	0.0016625674707241686	74	-0.33048536286833585	0.045738694009859866	37.0	1.692331678364815	47	0.4319374302379955	0.021715758859368443	28.0	0.6080412480623164	102	0.9710622918041648	0.005883502074956851	5.0	0.029417510374784257											237	-0.5350468899774756	0.03986085595280415	15.0	0.5979128392920622	147	0.9853701835284953	0.014629816471504742	4.0	0.05851926588601897											110	-0.9740968777942186	0.025903122205781393	4.0	0.10361248882312557																				
29	283	-0.518685073267185	3.0316701488287863e-05	58	0.001758368686320696	289	-0.3273463048295699	0.047963123702100686	37.0	1.7746355769777253	284	0.43113546094603833	0.021988324685788277	28.0	0.6156730912020718	120	-0.9695284026649141	0.006355966992476434	5.0	0.03177983496238217											299	0.5321228605073394	0.041167623737714855	15.0	0.6175143560657228	278	-0.9853552611085227	0.014644738891477327	4.0	0.05857895556590931											50	-0.9736299909626984	0.02637000903730158	4.0	0.10548003614920631																				
30	219	0.5130836406766417	3.816454274223841e-05	58	0.0022135434790498277	292	-0.32561215887808864	0.04922876996596646	37.0	1.821464488740759	27	0.43015360888460674	0.02232583168058883	28.0	0.6251232870564872	52	0.9668367579722867	0.00721351723945098	5.0	0.0360675861972549											275	-0.5314300009095446	0.04148187807040584	15.0	0.6222281710560876	62	-0.9851766282031833	0.014823371796816698	4.0	0.05929348718726679											89	-0.9735306163626425	0.026469383637357513	4.0	0.10587753454943005																				
