	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
43						144	-0.12920230668254945	0.034167199665442585	269.0	9.190976710004055	45	-0.15778039754878528	0.006345325776892794	298	1.8909070815140525																																								
44						181	0.12525800896192227	0.040081382629250345	269.0	10.781891927268342	255	-0.1574605252115324	0.006453987841329086	298	1.9232883767160676																																								
45						76	-0.12525637725445782	0.04008399746792218	269.0	10.782595318871067	58	0.15744456708352705	0.0064594522496324285	298	1.9249167703904637																																								
46						9	-0.12499239857201841	0.04050892655017685	269.0	10.896901241997572	14	-0.15710835031400616	0.006575546957742343	298	1.9595129934072182																																								
47						160	0.12469450645572326	0.04099300086554209	269.0	11.027117232830822	90	0.15673488737048558	0.00670668818433079	298	1.9985930789305755																																								
48						142	0.12431693208098929	0.041613553827994594	269.0	11.194045979730546	44	0.15662343124078026	0.006746276573081138	298	2.010390418778179																																								
49						175	-0.12286076486017229	0.04408136174235365	269.0	11.857886308693132	275	0.1558621610417841	0.007022307872989701	298	2.0926477461509307																																								
50						232	-0.12204131094256221	0.04552334252063718	269.0	12.245779138051402	145	0.1550305580840272	0.0073353347165893215	298	2.1859297455436177																																								
51						129	-0.12040043015580067	0.04852976206333086	269.0	13.054505995036001	26	-0.15476302607661505	0.007438653025128065	298	2.2167186014881635																																								
52						57	0.11988255603682695	0.049512358511593864	269.0	13.31882443961875	198	-0.15464086442100552	0.007486261062056263	298	2.2309057964927663																																								
53											102	0.1545070420788527	0.007538725273419821	298	2.2465401314791067																																								
54											192	-0.1539460731969972	0.007762236359481115	298	2.3131464351253723																																								
55											48	-0.15291030517720805	0.008190497306593141	298	2.440768197364756																																								
56											169	0.15270830065159274	0.008276430943225702	298	2.466376421081259																																								
57											19	0.15254363056779496	0.008347075171059447	298	2.4874284009757153																																								
58											78	0.15246723781485103	0.008380029870036866	298	2.497248901270986																																								
59											119	-0.15126542359919412	0.00891393225970122	298	2.6563518133909634																																								
60											181	-0.15112733250804664	0.008977175084286018	298	2.675198175117233																																								
61											94	-0.15073808689890894	0.009157592305630858	298	2.7289625070779957																																								
62											17	0.15065772188641147	0.00919524044002024	298	2.7401816511260315																																								
63											151	0.15046727904708435	0.009285005368903577	298	2.7669315999332658																																								
64											288	0.15021806653201764	0.009403645994616303	298	2.8022865063956583																																								
65											173	0.15005324748827176	0.009482847374455103	298	2.8258885175876207																																								
66											140	-0.1500408903250519	0.009488809211912017	298	2.8276651451497807																																								
67											53	0.14990934663135158	0.009552480225752379	298	2.8466391072742088																																								
68											208	-0.14919772903532869	0.009903539200885839	298	2.95125468186398																																								
69											276	-0.1484576381822562	0.010280730013983441	298	3.0636575441670653																																								
70											148	-0.14836352279279152	0.010329596825624237	298	3.0782198540360226																																								
71											62	-0.147881079822914	0.010583335223070568	298	3.1538338964750294																																								
72											213	0.14726624361410454	0.010914689352724006	298	3.252577427111754																																								
73											291	0.14725893075528157	0.010918685064731107	298	3.25376814928987																																								
74											267	0.1471905684241457	0.010956100527310485	298	3.2649179571385245																																								
75											57	0.14679407908585101	0.011175346969778859	298	3.3302533969940997																																								
76											37	-0.14666442021688095	0.01124788084849012	298	3.351868492850056																																								
77											63	0.1461901706189703	0.011516741380951523	298	3.431988931523554																																								
78											219	-0.1461129435893838	0.011561055898813172	298	3.4451946578463253																																								
79											70	-0.1458807374172198	0.011695208904880211	298	3.485172253654303																																								
80											271	-0.1458755275922379	0.011698234482606932	298	3.486073875816866																																								
81											280	0.14575774293893418	0.011766821890884231	298	3.506512923483501																																								
82											56	-0.14556839861432472	0.011877823230653376	298	3.539591322734706																																								
83											50	-0.14534799751457414	0.012008193975266252	298	3.578441804629343																																								
84											91	0.14513284031359955	0.012136678583078613	298	3.6167302177574268																																								
85											25	-0.14495939244797057	0.012241136669344017	298	3.6478587274645173																																								
86											101	-0.14489314959553873	0.012281239740640468	298	3.6598094427108596																																								
87											150	-0.1447027627236352	0.01239714436090868	298	3.6943490195507867																																								
88											170	0.1437238801816325	0.013008420502695616	298	3.8765093098032937																																								
89											80	0.14303501947216682	0.013454341378558856	298	4.009393730810539																																								
90											159	0.142905739553197	0.013539509957088641	298	4.0347739672124145																																								
91											247	-0.14265488742961907	0.01370612221606612	298	4.084424420387704																																								
92											260	0.1426456922363284	0.013712263609024366	298	4.086254555489261																																								
93											95	0.14248472982222946	0.013820161393906094	298	4.118408095384016																																								
94											287	-0.1424459498395337	0.01384626797476839	298	4.12618785648098																																								
95											117	-0.14197729809160076	0.014165205047076284	298	4.221231104028733																																								
96											203	0.14176227660414678	0.014313682028633343	298	4.265477244532736																																								
97											253	0.14166933705295687	0.014378280427232002	298	4.284727567315136																																								
98											256	-0.1411486080530907	0.014744970768463239	298	4.394001289002045																																								
99											10	0.14082975475523885	0.014973528685628634	298	4.462111548317333																																								
100											28	-0.14079527374210443	0.01499843018014777	298	4.469532193684035																																								
101											200	-0.1406712674016645	0.015088285295460248	298	4.496309018047154																																								
102											251	-0.1404318463834629	0.01526310536397838	298	4.548405398465557																																								
103											1	-0.14005621802735893	0.015540957173535317	298	4.631205237713525																																								
104											122	0.13999295753466862	0.015588184017204817	298	4.6452788371270355																																								
105											29	-0.13965471493437634	0.015842835243468013	298	4.721164902553467																																								
106											114	0.1392921714623941	0.016119816256499647	298	4.803705244436895																																								
107											174	0.1390672156841777	0.016293802168293126	298	4.855553046151352																																								
108											82	0.13894198697277269	0.016391366451956695	298	4.884627202683095																																								
109											49	-0.13893598698855503	0.016396053763941994	298	4.886024021654714																																								
110											54	-0.13857423927518855	0.016680831979695207	298	4.970887929949171																																								
111											42	-0.13841010138704848	0.016811464819670958	298	5.009816516261945																																								
112											168	-0.13823740626315986	0.016949871836571696	298	5.051061807298366																																								
113											66	-0.13804435613486093	0.017105769234550476	298	5.097519231896042																																								
114											110	0.13765926993212588	0.01742048732443775	298	5.191305222682449																																								
115											108	-0.1374771430886702	0.017571084870439804	298	5.236183291391062																																								
116											115	0.13695260640000473	0.01801117681258318	298	5.367330690149788																																								
117											76	0.1363141796419437	0.018559759382977103	298	5.5308082961271765																																								
118											84	0.13619036857126554	0.018667814734704493	298	5.563008790941939																																								
119											234	-0.13615504940452547	0.01869873953183848	298	5.572224380487866																																								
120											137	-0.13541904211791225	0.019353396496858494	298	5.767312156063831																																								
121											127	0.1354113632412263	0.01936033035349846	298	5.769378445342541																																								
122											79	0.13533643643025906	0.0194281010431344	298	5.78957411085405																																								
123											228	0.1346127374375596	0.020093366848925626	298	5.987823320979836																																								
124											190	0.13413272792903025	0.020545452093574	298	6.122544723885053																																								
125											6	0.1340577984902879	0.020616813032781615	298	6.1438102837689215																																								
126											232	-0.13395120689014586	0.020718698692454678	298	6.174172210351494																																								
127											12	0.1338821032417867	0.020784984559678144	298	6.193925398784087																																								
128											262	-0.1336427021775131	0.021016048069921467	298	6.262782324836597																																								
129											189	0.13344304399421594	0.02121045262121952	298	6.3207148811234175																																								
130											207	-0.13323518572265924	0.02141449542770545	298	6.381519637456224																																								
131											126	0.1327322936264148	0.02191520387506545	298	6.530730754769504																																								
