,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
1354,вспомнить,вспомнить,VERB,advcl,"[1400, 1308]","[1349, 1364, 1370]",Aspect=Perf|VerbForm=Inf|Voice=Act
1364,сказки,сказка,NOUN,obj,"[1354, 1400, 1308]",[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur
1370,",",",",PUNCT,punct,"[1354, 1400, 1308]",[],
1372,то,то,SCONJ,mark,"[1400, 1308]",[],
1375,в,в,ADP,case,"[1377, 1400, 1308]",[],
1377,них,они,PRON,obl,"[1400, 1308]",[1375],Case=Loc|Number=Plur|Person=Third
1381,старые,старый,ADJ,amod,"[1388, 1400, 1308]",[],Case=Nom|Degree=Pos|Number=Plur
1388,люди,человек,NOUN,nsubj,"[1400, 1308]",[1381],Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
1393,всегда,всегда,ADV,advmod,"[1400, 1308]",[],Degree=Pos
1400,помогают,помогать,VERB,advcl,[1308],"[1335, 1337, 1354, 1372, 1377, 1388, 1393, 1409, 1416, 1418, 1430]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
1409,Иванам,иван,NOUN,iobj,"[1400, 1308]",[],Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur
1416,-,-,NOUN,iobj,"[1400, 1308]",[],Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur
1418,царевичам,царевич,NOUN,iobj,"[1400, 1308]",[],Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur
1428,в,в,ADP,case,"[1430, 1400, 1308]",[],
1430,принятии,принятие,NOUN,obl,"[1400, 1308]","[1428, 1451]",Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
1439,правильного,правильный,ADJ,amod,"[1451, 1430, 1400, 1308]",[],Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
1451,решения,решение,NOUN,nmod,"[1430, 1400, 1308]",[1439],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
1458,.,.,PUNCT,punct,[1308],[],
1460,А,а,CCONJ,cc,[1471],[],
1462,основная,основный,ADJ,amod,[1471],[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
1471,задача,задача,NOUN,ROOT,[],"[1460, 1462, 1483, 1513, 1518, 1571]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
1478,этой,этот,DET,det,"[1483, 1471]",[],Case=Gen|Gender=Fem|Number=Sing
1483,старушки,старушка,NOUN,nmod,[1471],"[1478, 1496, 1502, 1503]",Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing
1492,как,как,SCONJ,case,"[1496, 1483, 1471]",[],
1496,ангела,ангел,NOUN,acl,"[1483, 1471]",[1492],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
1502,-,-,NOUN,conj,"[1483, 1471]",[],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
1503,хранителя,хранитель,NOUN,conj,"[1483, 1471]",[],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
1513,-,-,NOUN,nmod,[1471],[],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
1515,не,не,PART,advmod,"[1518, 1471]",[],Polarity=Neg
1518,допустить,допустить,VERB,csubj,[1471],"[1515, 1528]",Aspect=Perf|VerbForm=Inf|Voice=Act
1528,вступления,вступление,NOUN,obj,"[1518, 1471]","[1548, 1560]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
1539,молодого,молодой,ADJ,amod,"[1548, 1528, 1518, 1471]",[],Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
1548,человека,человек,NOUN,nmod,"[1528, 1518, 1471]",[1539],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
1557,на,на,ADP,case,"[1560, 1528, 1518, 1471]",[],
1560,дорожку,дорожка,NOUN,nmod,"[1528, 1518, 1471]","[1557, 1568]",Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
1568,зла,зло,NOUN,nmod,"[1560, 1528, 1518, 1471]",[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
1571,.,.,PUNCT,punct,[1471],[],
1573,В,в,ADP,case,"[1575, 1584]",[],
1575,итоге,итог,NOUN,obl,[1584],"[1573, 1580]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
1580,",",",",PUNCT,punct,"[1575, 1584]",[],
1582,я,я,PRON,nsubj,[1584],[],Case=Nom|Number=Sing|Person=First
1584,думаю,думать,VERB,ROOT,[],"[1575, 1582, 1589, 1612, 1684]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
1589,",",",",PUNCT,punct,[1584],[],
1591,этот,этот,DET,det,"[1596, 1612, 1584]",[],Case=Nom|Gender=Masc|Number=Sing
