,FPI All / 1045,FPI ж / 696,FPI м / 343,FPI н / 6,FPI повествование / 553,FPI описание / 325,FPI официальный / 167,BIG5 All / 536,BIG5 ж / 338,BIG5 м / 198,BIG5 описание / 261,BIG5 повествование / 203,BIG5 рассуждение / 72
когда_ADV,67,51,14,2,45,21,1,16,11,5,3,11,2
мало_ADV,67,41,26,0,55,8,4,20,11,9,8,11,1
группа_NOUN,67,51,15,1,61,2,4,16,11,5,0,16,0
стараться_VERB,66,51,15,0,43,9,14,16,12,4,3,12,1
следующий_ADJ,66,52,14,0,59,4,3,28,13,15,12,14,2
его_PRON,66,53,13,0,17,44,5,30,25,5,28,2,0
2_NUM,65,47,18,0,40,12,13,47,26,21,17,24,6
получиться_VERB,65,44,21,0,57,6,2,18,12,6,5,13,0
сложный_ADJ,65,53,12,0,51,10,4,20,13,7,6,13,1
один_DET,65,46,19,0,30,32,3,35,21,14,21,14,0
старуха_NOUN,65,51,14,0,1,61,3,24,13,11,23,1,0
старушка_NOUN,65,57,8,0,1,62,2,29,16,13,29,0,0
вернуться_VERB,65,46,19,0,37,24,4,27,17,10,18,7,2
бывать_VERB,65,43,22,0,53,9,3,13,10,3,1,12,0
один_NUM,64,43,21,0,40,20,4,32,20,12,12,13,7
больший_ADJ,64,50,14,0,39,17,8,33,23,10,10,16,7
просить_VERB,64,42,22,0,19,10,35,5,4,1,4,1,0
ко_ADP,64,48,16,0,53,7,4,20,16,4,4,16,0
устроиться_VERB,64,36,28,0,46,2,16,9,6,3,0,9,0
любовь_NOUN,64,52,11,1,32,28,4,31,23,8,17,14,0
познакомиться_VERB,64,50,14,0,57,6,1,23,12,11,2,21,0
счастливый_ADJ,63,56,7,0,38,24,1,33,25,8,15,13,5
впечатление_NOUN,63,47,16,0,33,27,3,15,12,3,10,5,0
более_ADV,63,40,23,0,29,21,13,26,13,13,12,12,2
строительный_ADJ,63,31,32,0,19,0,44,1,0,1,0,0,1
бояться_VERB,63,54,9,0,37,24,2,22,20,2,13,9,0
чем_SCONJ,62,39,23,0,40,15,7,26,16,10,9,15,2
полный_ADJ,62,44,18,0,29,26,7,22,15,7,10,11,1
свободный_ADJ,61,42,19,0,51,2,8,13,8,5,0,11,2
институт_NOUN,61,46,15,0,56,1,4,11,6,5,0,11,0
;_PUNCT,61,44,16,1,38,11,12,18,14,4,5,8,5
вроде_ADV,60,42,18,0,59,1,0,9,5,4,1,8,0
равный_ADJ,60,47,13,0,41,16,3,23,16,7,9,13,1
бы_PART,60,45,14,1,35,25,0,14,8,6,8,4,2
желание_NOUN,60,38,21,1,17,32,11,22,13,9,13,7,2
уехать_VERB,60,47,13,0,49,10,1,22,16,6,10,11,1
экзамен_NOUN,60,46,14,0,60,0,0,16,11,5,0,16,0
подруга_NOUN,59,58,1,0,57,2,0,27,23,4,3,24,0
сама_ADJ,59,55,4,0,40,18,1,17,14,3,7,10,0
помочь_VERB,59,44,14,1,17,30,12,32,22,10,12,6,14
специальность_NOUN,59,30,28,1,23,0,36,4,3,1,0,4,0
туда_ADV,58,42,16,0,51,7,0,11,9,2,0,10,1
новость_NOUN,58,46,11,1,58,0,0,17,12,5,0,16,1
нетерпение_NOUN,58,53,5,0,57,0,1,15,13,2,0,15,0
деньга_NOUN,58,32,26,0,51,6,1,61,39,22,1,8,52
тяжёлый_ADJ,58,48,10,0,44,14,0,29,16,13,11,17,1
под_ADP,57,40,16,1,31,24,2,23,13,10,9,12,2
все_ADV,57,44,13,0,39,16,2,17,14,3,6,10,1
машина_NOUN,57,29,28,0,57,0,0,45,22,23,4,10,31
выходной_NOUN,57,40,17,0,56,0,1,25,15,10,0,25,0
играть_VERB,57,32,25,0,41,10,6,20,10,10,1,19,0
будто_PART,57,48,6,3,13,44,0,32,21,11,29,2,1
проходить_VERB,56,44,12,0,43,7,6,16,9,7,6,10,0
мужчина_NOUN,56,40,15,1,1,53,2,52,32,20,50,2,0
воронежский_ADJ,56,33,23,0,18,0,38,5,1,4,0,5,0
коллектив_NOUN,56,39,17,0,26,0,30,2,2,0,0,2,0
ночь_NOUN,56,40,16,0,46,10,0,9,6,3,3,6,0
