	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
28						286	-0.177929732221968	0.04803248003578708	124.0	5.956027524437598											179	0.2859620055897408	0.013516183894555571	74	1.0001976081971122																															243	-0.4639419223978813	0.011241998463920112	29.0	0.32601795545368323										
29																					125	0.2842188529671592	0.014121417214425874	74	1.0449848738675147																															173	0.4634505662183072	0.011339895881495341	29.0	0.3288569805633649										
30																					178	-0.28398742991332937	0.014203503037554828	74	1.0510592247790573																															153	-0.4611571711686359	0.01180631692789422	29.0	0.3423831909089324										
31																					286	0.28315548088356807	0.01450200860255562	74	1.0731486365891159																															93	0.45502889449664086	0.013131953339042607	29.0	0.3808266468322356										
32																					86	-0.28281836770622293	0.014624498592033576	74	1.0822128958104846																															291	0.45361919111906673	0.013453826700922267	29.0	0.39016097432674574										
33																					79	-0.28198205676105764	0.014932233512380549	74	1.1049852799161606																															183	0.4521725075039037	0.013790948794818875	29.0	0.3999375150497474										
34																					63	-0.28096748919584097	0.015313044169644451	74	1.1331652685536893																															58	0.45190310391154925	0.01385449823101562	29.0	0.40178044869945295										
35																					8	-0.28032235494255553	0.015559519148308	74	1.1514044169747921																															113	-0.4512272078164384	0.014015008380106329	29.0	0.40643524302308354										
36																					88	-0.2802738442861809	0.015578190115608457	74	1.1527860685550257																															239	-0.44798269822301856	0.014807202759062093	29.0	0.4294088800128007										
37																					284	0.27809918489285124	0.01643524300694727	74	1.2162079825140981																															209	-0.4444005740235544	0.015724675971138264	29.0	0.45601560316300965										
38																					116	-0.2775779439853241	0.01664659120788905	74	1.2318477493837896																															103	-0.4436191095088522	0.01593096597950835	29.0	0.4619980134057422										
39																					42	0.2768875024883134	0.016930139132799553	74	1.2528302958271669																															101	-0.43941978607873855	0.01707828243115437	29.0	0.4952701905034767										
