Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
58_формирование-перестройка,-2.06,0.04114,73,125,198,8.1,interp_big5_w2v_повествование.tsv
99_благоразумие-безолаберность,-2.07,0.04117,73,125,198,8.2,interp_big5_w2v_повествование.tsv
167_дополнение-устранение,2.05,0.04131,73,125,198,8.2,interp_big5_w2v_повествование.tsv
33_абстрактная_работа-конкретная_работа,-2.04,0.04267,73,125,198,8.4,interp_big5_w2v_повествование.tsv
54_реальность-когнитивные_процессы,2.04,0.04271,73,125,198,8.5,interp_big5_w2v_повествование.tsv
146_разум-чувство,2.04,0.04343,73,125,198,8.6,interp_big5_w2v_повествование.tsv
171_работа-отдых,2.03,0.04445,73,125,198,8.8,interp_big5_w2v_повествование.tsv
199_уют-неуют,-2.02,0.04511,73,125,198,8.9,interp_big5_w2v_повествование.tsv
6_холодное_отношение-тёплое_отношение,-2.02,0.04516,73,125,198,8.9,interp_big5_w2v_повествование.tsv
11_приобретение-постоянное_местонахождение,-2.01,0.04555,73,125,198,9.0,interp_big5_w2v_повествование.tsv
73_наука-физический_труд,2.01,0.04631,73,125,198,9.2,interp_big5_w2v_повествование.tsv
86_доказательство-совпадение,-2.01,0.04653,73,125,198,9.2,interp_big5_w2v_повествование.tsv
117_живая_природа-неживая_природа,2.0,0.04694,73,125,198,9.3,interp_big5_w2v_повествование.tsv
296_равенство-иерархия,-2.0,0.04725,73,125,198,9.4,interp_big5_w2v_повествование.tsv
225_кража-находка,-1.99,0.04852,73,125,198,9.6,interp_big5_w2v_повествование.tsv
70_единство-разрозренность,1.99,0.04913,73,125,198,9.7,interp_big5_w2v_повествование.tsv
161_холодное_отношение-тёплое_отношение,1.99,0.04962,73,125,198,9.8,interp_big5_w2v_повествование.tsv
268_отдых-работа,-2.26,0.02553,51,82,133,3.4,interp_big5_w2v_описание.tsv
270_древность-современность,2.24,0.02811,51,82,133,3.7,interp_big5_w2v_описание.tsv
232_проблема-решение_проблем,-2.21,0.03058,51,82,133,4.1,interp_big5_w2v_описание.tsv
114_церковь-мирская_жизнь,2.13,0.03619,51,82,133,4.8,interp_big5_w2v_описание.tsv
76_мир-война,-2.04,0.04543,51,82,133,6.0,interp_big5_w2v_описание.tsv
77_природные_процессы-военные_процессы,2.0,0.04807,51,82,133,6.4,interp_big5_w2v_описание.tsv
245_любовь-ненависть,-2.18,0.04027,20,38,58,2.3,interp_big5_w2v_рассуждение.tsv
