	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
86																																				280	0.20118598706378835	0.01178867029662764	156	1.8390325662739118																																													
87																																				174	0.20059203350411142	0.012045184411705443	156	1.879048768226049																																													
88																																				156	-0.20057484226320743	0.012052681279309772	156	1.8802182795723246																																													
89																																				10	0.19955315777762483	0.012505642793681463	156	1.9508802758143082																																													
90																																				182	0.19944382462363733	0.012554988444679924	156	1.9585781973700682																																													
91																																				270	-0.1993051508942901	0.012617821978143318	156	1.9683802285903576																																													
92																																				205	0.19800580966814754	0.013220077397185571	156	2.062332073960949																																													
93																																				295	0.19766003186916453	0.013384528315637951	156	2.0879864172395206																																													
94																																				130	0.1965331195801796	0.0139329742389735	156	2.173543981279866																																													
95																																				23	-0.19634259624106853	0.01402761425488224	156	2.188307823761629																																													
96																																				236	0.19592137070499596	0.014238849048661082	156	2.221260451591129																																													
97																																				105	0.1956007309527744	0.014401500008714596	156	2.246634001359477																																													
98																																				215	0.19540345552478683	0.014502376195510817	156	2.2623706864996875																																													
99																																				169	0.19539419432814348	0.014507127004053669	156	2.2631118126323724																																													
100																																				241	0.1952414889119147	0.014585657981892635	156	2.275362645175251																																													
101																																				253	0.1945518248726087	0.014944968441472905	156	2.331415076869773																																													
102																																				181	-0.194168226870289	0.015148143334755573	156	2.3631103602218695																																													
103																																				97	-0.19385143090884208	0.015317747943622676	156	2.3895686792051376																																													
104																																				197	0.193534395231162	0.015489135766263746	156	2.4163051795371446																																													
105																																				79	0.19237827421983264	0.016128365777476155	156	2.51602506128628																																													
106																																				297	-0.19225415453320602	0.016198338726860575	156	2.5269408413902497																																													
107																																				50	-0.19131619389556356	0.016735711965844828	156	2.610771066671793																																													
108																																				98	-0.1912921070250591	0.016749713442359534	156	2.6129552970080874																																													
109																																				120	-0.19112364619864125	0.016847923145184875	156	2.6282760106488405																																													
110																																				35	-0.19033516237791467	0.01731427772721542	156	2.7010273254456054																																													
111																																				128	0.19019024427376452	0.017401199374141276	156	2.714587102366039																																													
112																																				27	-0.1896368521636128	0.01773661828716974	156	2.766912452798479																																													
113																																				29	-0.18903337118371538	0.0181087782197982	156	2.8249694022885192																																													
