	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
19											47	-0.1167597381620402	0.044008674818086	298.0	13.114585095789629											55	-0.10951523328192014	0.023459831637400643	428.0	10.040807940807476																					84	0.13344412077487963	0.026915161080835828	276.0	7.428584458310689											7	-0.2247944250673553	0.009841279766333073	131	1.2892076493896325	73	0.21784199203284516	0.030306792772637245	99.0	3.0003724844910873
20																										193	0.10901553676739699	0.024104398385062377	428.0	10.316682508806696																					218	0.13323062093565782	0.027162549569125213	276.0	7.496863681078559											282	0.22464644939988188	0.009891114882161944	131	1.2957360495632146	187	-0.21761602118315834	0.0304831460739305	99.0	3.0178314613191195
21																										12	-0.10894272252165622	0.02419958841147438	428.0	10.357423840111034																					188	-0.13303347123539883	0.02739272331578244	276.0	7.560391635155953											159	-0.22340845509616705	0.010316825931578214	131	1.351504197036746	44	-0.21614637092584635	0.03165139840248064	99.0	3.1334884418455835
22																										285	-0.10826244244459725	0.025104718159058532	428.0	10.744819372077052																					3	-0.1328462682806443	0.02761283115278213	276.0	7.621141398167868											120	-0.22337188385402015	0.010329643119380245	131	1.353183248638812	42	0.2155900971400067	0.03210334415523664	99.0	3.1782310713684274
23																										119	0.10825927573488299	0.025108998921283817	428.0	10.746651538309473																					123	0.13275929805963327	0.027715603235949886	276.0	7.649506493122169											217	0.22197167417297956	0.010831028940514936	131	1.4188647912074566	234	0.2149590217651292	0.032622642569096964	99.0	3.2296416143405993
24																										289	0.10696065296449007	0.026918407826225777	428.0	11.521078549624633																					228	-0.13267023216992518	0.027821191572795913	276.0	7.678648874091672											53	-0.22189947563915882	0.010857451647792454	131	1.4223261658608115	185	-0.2149230307117837	0.03265247107436719	99.0	3.2325946363623514
25																										111	-0.10583573971376889	0.02857536684119319	428.0	12.230257008030685																					91	-0.1323360079053859	0.028220498469474005	276.0	7.788857577574825											174	-0.2213158205174181	0.01107314080446457	131	1.4505814453848587	43	0.21471513945904339	0.03282521660460948	99.0	3.2496964438563385
26																										155	-0.10539182260368452	0.029252928106531333	428.0	12.520253229595411																					206	-0.13155844322061494	0.02916852266212034	276.0	8.050512254745215											230	-0.22091927481643944	0.011221821626800313	131	1.470058633110841	293	0.2144940482778157	0.03300977507151072	99.0	3.267967732079561
27																										241	-0.10531362400003952	0.029373700562201496	428.0	12.571943840622241																					178	-0.1311279095398358	0.029705067712124996	276.0	8.198598688546499											32	-0.22002511364951757	0.01156352381438666	131	1.5148216196846525	256	0.214312702118154	0.03316180794027722	99.0	3.283018986087445
28																										163	-0.10512136058785596	0.029672457215597473	428.0	12.699811688275718																					118	-0.1295633342331028	0.03172653236393884	276.0	8.756522932447119											99	0.21996763950927986	0.01158579629127492	131	1.5177393141570146	262	0.2140203129315654	0.03340817672873298	99.0	3.3074094961445653
