	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
26											122	-0.22680601712260404	0.012735433447934636	120	1.5282520137521565						151	-0.2728542170836853	0.040023194522825704	57.0	2.281322087801065																																									272	-0.4004898156788684	0.03132919296550017	29.0	0.9085465959995049																				
27											280	-0.22539511566180057	0.013317129818861592	120	1.598055578263391						166	-0.2726952768222552	0.04014384380412491	57.0	2.28819909683512																																									20	-0.3940827653580158	0.03440379278822494	29.0	0.9977099908585232																				
28											238	-0.2248799581387584	0.013535228581412734	120	1.624227429769528						76	0.27216307117910377	0.04055001912612215	57.0	2.3113510901889622																																									299	0.39371087237767055	0.03458945978619192	29.0	1.0030943337995657																				
29											283	-0.2239561001564476	0.01393416721806654	120	1.6721000661679848						174	-0.2709618167789041	0.04147926912638374	57.0	2.3643183402038734																																									103	-0.39289970203549746	0.034997235166522735	29.0	1.0149198198291594																				
30											13	-0.2226864471730242	0.014499125200853813	120	1.7398950241024576						203	-0.26888553822238553	0.04312671979205232	57.0	2.4582230281469823																																									94	-0.39196493936003585	0.035471929387834354	29.0	1.0286859522471963																				
31											288	-0.21956965004219384	0.015971286621175064	120	1.9165543945410077						208	0.2684407352047416	0.043486557025333786	57.0	2.4787337504440257																																									33	0.382452937038697	0.040602899241108985	29.0	1.1774840779921605																				
32											254	0.21918487639164239	0.016161730327578106	120	1.9394076393093727						273	0.26725011493826906	0.04446189664947103	57.0	2.534328109019849																																									209	-0.38208650495457225	0.04081182470300608	29.0	1.1835429163871762																				
33											42	0.21916863703695869	0.016169811145948773	120	1.9403773375138527						53	0.2665987323680859	0.04500305021259206	57.0	2.565173862117747																																									154	0.37863232429346066	0.0428237662954213	29.0	1.2418892225672176																				
34											168	0.21883262537012507	0.016337801395173178	120	1.9605361674207813						199	0.2654449012803003	0.0459748765863164	57.0	2.620567965420035																																									9	0.3767368661421987	0.043960936833668356	29.0	1.2748671681763823																				
35											30	-0.20984217438379255	0.021430127543482995	120	2.5716153052179593						50	0.2652162433197334	0.04616949194357359	57.0	2.6316610407836944																																									242	0.37526775271250684	0.044858751982161965	29.0	1.300903807482697																				
36											44	-0.2077563341698103	0.02278985731061349	120	2.7347828772736187						287	-0.26484809434451506	0.046484247787050396	57.0	2.6496021238618725																																									44	0.3701329130069893	0.048111878826753246	29.0	1.3952444859758442																				
37											74	0.20220801943451805	0.02677208503452395	120	3.212650204142874						286	0.2642375465146838	0.04701011722619552	57.0	2.6795766818931446																																									185	0.3688075117890964	0.04898119726504621	29.0	1.42045472068634																				
38											246	0.20133061736361094	0.02745322875282578	120	3.2943874503390935						188	0.26366561142160494	0.04750713386972111	57.0	2.707906630574103																																																																	
39											65	-0.20086054581255502	0.027824187425190272	120	3.3389024910228327						249	0.2631859574129615	0.04792726199774794	57.0	2.7318539338716326																																																																	
40											68	-0.19804610218461877	0.030135606061283418	120	3.6162727273540103						205	-0.26187711294216337	0.04908914162730949	57.0	2.798081072756641																																																																	
41											202	0.19367607378010263	0.034046519565584146	120	4.085582347870098																																																																											
42											76	0.1917849480401676	0.03586721864891503	120	4.304066237869804																																																																											
43											31	0.19141539612611982	0.036232418046185995	120	4.347890165542319																																																																											
44											263	-0.19012857086505822	0.03752859566292909	120	4.503431479551491																																																																											
45											105	-0.19000554786821158	0.03765452768541275	120	4.5185433222495295																																																																											
46											106	0.18894123182157327	0.03875890138867363	120	4.651068166640836																																																																											
47											140	0.18884269367365814	0.038862508362453425	120	4.663501003494411																																																																											
48											285	0.18680508207671054	0.04105754847294558	120	4.926905816753469																																																																											
49											224	0.18591423675225588	0.04204929696035247	120	5.045915635242297																																																																											
50											194	-0.182577792790805	0.04594318432247188	120	5.5131821186966254																																																																											
51											112	0.18031213432874155	0.04875474561143545	120	5.850569473372254																																																																											
