	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
44																					165	-0.2752363066893196	0.030378896862337284	62	1.8834916054649116																																								
45																					25	-0.2722816399470843	0.03227832464054209	62	2.0012561277136096																																								
46																					222	0.2722248371489618	0.03231579065543372	62	2.0035790206368906																																								
47																					286	-0.2713081003604166	0.03292549234064052	62	2.0413805251197124																																								
48																					21	-0.2711955106550857	0.033001030796589025	62	2.0460639093885193																																								
49																					229	0.2700954970771776	0.03374668580630559	62	2.0922945199909466																																								
50																					172	-0.2696928311724605	0.03402312445500618	62	2.109433716210383																																								
51																					147	-0.268861147274442	0.034600068467593094	62	2.145204244990772																																								
52																					195	-0.26803656170339807	0.035180106565892016	62	2.181166607085305																																								
53																					256	-0.2650681347554339	0.03733557168554879	62	2.314805444504025																																								
54																					104	-0.26485691643308473	0.03749302980190808	62	2.324567847718301																																								
55																					46	-0.26441053145502436	0.037827611423291455	62	2.3453119082440703																																								
56																					130	0.2642699435858888	0.037933498274095444	62	2.3518768929939173																																								
57																					67	0.26340487736343504	0.038590462641067864	62	2.3926086837462077																																								
58																					96	0.2633580749627232	0.03862627322750021	62	2.394828940105013																																								
59																					184	0.2632808643288986	0.03868541065244003	62	2.3984954604512816																																								
60																					255	0.2585281699513492	0.04247266448694073	62	2.6333051981903255																																								
61																					210	0.25767448768333784	0.043184289394539575	62	2.6774259424614537																																								
62																					159	0.2557748276450067	0.04480311497314057	62	2.7777931283347157																																								
63																					245	-0.25555735626525694	0.04499157776311247	62	2.789477821312973																																								
64																					232	0.25506690141083144	0.04541900302963413	62	2.815978187837316																																								
65																					34	-0.25479499082567275	0.045657403355869854	62	2.830759008063931																																								
66																					152	-0.25435345781668023	0.04604671038480528	62	2.8548960438579276																																								
67																					231	0.25413435232822795	0.04624090855451869	62	2.8669363303801587																																								
68																					9	0.2539896082365547	0.04636956682797783	62	2.8749131433346258																																								
69																					76	-0.2533504988822822	0.046941166762623165	62	2.9103523392826363																																								
70																					282	-0.2512700729265658	0.04884197958987614	62	3.0282027345723206																																								
