	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
19											75	-0.15467583326762174	0.02113858209109393	222	4.692765224222852						282	0.1988131896780245	0.02032179482361614	136.0	2.763764096011795	153	-0.10998298010317231	0.03300520109279078	376.0	12.409955610889334	215	-0.16183027314908432	0.036672357077183936	167.0	6.124283631889718																																														132	0.2328211412287458	0.020390350537758905	99.0	2.0186447032381314
20											2	0.1543208470788019	0.021440034846895387	222	4.759687736010776						63	-0.1968984421986629	0.021587095905890804	136.0	2.9358450432011494	160	-0.10997896802197107	0.0330116340815284	376.0	12.412374414654678	32	0.1613899939180251	0.03719358392223053	167.0	6.211328515012498																																														279	-0.23258678400529653	0.020520852911055012	99.0	2.031564438194446
21											147	-0.1541802155394801	0.021560482678431334	222	4.786427154611756						154	-0.19616023925140438	0.02209271846124169	136.0	3.00460971072887	164	0.10983331151926144	0.03324590530754016	376.0	12.5004603956351	119	-0.1610917958303186	0.037550145602518674	167.0	6.270874315620619																																														109	0.23143258763626215	0.02117408168675598	99.0	2.096234086988842
22											253	-0.1538996660454769	0.021802515849880827	222	4.840158518673544						172	0.19549995879535267	0.02255356530950592	136.0	3.067284882092805	22	-0.10929221730210803	0.03412863986954937	376.0	12.832368590950564	99	0.16087298848875126	0.03781360767623176	167.0	6.314872481930704																																														217	-0.22995017498349854	0.022039161299745758	99.0	2.18187696867483
23											101	0.15373414950310374	0.02194640735214343	222	4.872102432175842						265	0.18364607669556343	0.03234416488142787	136.0	4.39880642387419	198	-0.10909420618620468	0.03445662196798982	376.0	12.955689859964172	237	-0.16006663560360948	0.03879801306170373	167.0	6.479268181304523																																														292	0.22881487113682145	0.022721984416364367	99.0	2.2494764572200725
24											54	0.15324430053646454	0.022377074467391702	222	4.967710531760958						253	-0.1824839394716087	0.033473686276554955	136.0	4.552421333611474	299	0.10846143622844014	0.03552276809024929	376.0	13.356560801933734	234	0.15974471723296355	0.03919699643596102	167.0	6.545898404805491																																														259	-0.2254239861362498	0.024870147877716835	99.0	2.4621446398939666
25											170	-0.15303702048368367	0.02256149741912882	222	5.008652427046599						48	0.1814337471527067	0.034522929126660884	136.0	4.69511836122588	63	0.10843272685786336	0.03557179765471154	376.0	13.374995918171537	206	0.1592127951654004	0.0398638204624294	167.0	6.65725801722571																																														1	0.22529149408489227	0.02495748333208233	99.0	2.470790849876151
26											189	-0.15241772332411305	0.023120340229010057	222	5.132715530840232						230	-0.1790205368195101	0.037039612300899714	136.0	5.037387272922361	36	0.10833356549912956	0.03574158691117635	376.0	13.438836678602307	88	0.1590154826125212	0.04011358701146025	167.0	6.698969030913862																																														139	0.22522575121321228	0.025000916347340384	99.0	2.475090718386698
27											47	-0.15209851611403144	0.023413021287704356	222	5.197690725870367						126	-0.17855886654548328	0.03753827097962478	136.0	5.105204853228971	127	0.10786103702685734	0.03656016187720337	376.0	13.746620865828469	114	-0.1586312557787704	0.040603732794947126	167.0	6.78082337675617																																														290	-0.2239129354442903	0.025881811698136963	99.0	2.5622993581155593
28											223	0.15168390549491445	0.02379794198036229	222	5.283143119640428						56	0.1774679268070908	0.038739098077535686	136.0	5.268517338544854	155	0.10737352559605737	0.03742131111459152	376.0	14.070412979086413	67	-0.15860995078996978	0.04063105744580675	167.0	6.7853865934497275																																														239	0.2237183016200411	0.026014632940232957	99.0	2.5754486610830627
